psm_px,psm_py,psm_pz,psm_ow,psm_ox,psm_oy,psm_oz,dk2_px,dk2_py,dk2_pz,dk2_ow,dk2_ox,dk2_oy,dk2_oz
1.389854,-7.408823,108.060394,1.000000,0.000000,0.000000,0.000000,-2.072174,-25.067722,16.847649,-0.974183,0.218239,-0.024781,-0.052195
3.204736,-7.270387,109.438583,1.000000,0.000000,0.000000,0.000000,-0.439369,-25.047234,17.174057,-0.974715,0.217639,-0.011786,-0.049252
4.598161,-6.949083,109.029007,1.000000,0.000000,0.000000,0.000000,0.971650,-24.941114,17.493429,-0.975034,0.217109,-0.000861,-0.046592
6.545133,-6.620160,111.029854,1.000000,0.000000,0.000000,0.000000,2.308961,-24.779495,17.833126,-0.975578,0.214988,0.009504,-0.044017
7.918616,-6.220612,111.914757,1.000000,0.000000,0.000000,0.000000,3.720345,-24.518698,18.262043,-0.976417,0.210816,0.021136,-0.041479
9.123064,-5.674716,111.433685,1.000000,0.000000,0.000000,0.000000,4.862705,-24.228970,18.659973,-0.977095,0.206794,0.031374,-0.039219
10.433378,-5.144054,111.731018,1.000000,0.000000,0.000000,0.000000,5.874602,-23.909752,19.056965,-0.977450,0.203878,0.041281,-0.036336
11.516651,-4.528970,111.161591,1.000000,0.000000,0.000000,0.000000,6.901506,-23.495817,19.503792,-0.977604,0.201767,0.050658,-0.031838
12.441154,-3.936123,110.559860,1.000000,0.000000,0.000000,0.000000,7.728524,-23.093710,19.883595,-0.977810,0.199925,0.056495,-0.026940
13.227871,-3.317775,109.738495,1.000000,0.000000,0.000000,0.000000,8.427581,-22.640934,20.257545,-0.978343,0.196352,0.061350,-0.022966
14.174908,-2.696907,110.479530,1.000000,0.000000,0.000000,0.000000,9.048868,-22.069157,20.672043,-0.979316,0.189502,0.067732,-0.021002
14.708142,-2.004336,109.759293,1.000000,0.000000,0.000000,0.000000,9.467804,-21.480047,21.020010,-0.980289,0.182391,0.073226,-0.020109
15.189323,-1.295849,109.445129,1.000000,0.000000,0.000000,0.000000,9.776781,-20.855457,21.323895,-0.981196,0.175816,0.077486,-0.018425
15.585085,-0.607922,109.163986,1.000000,0.000000,0.000000,0.000000,10.003904,-20.077370,21.604176,-0.981978,0.170154,0.080892,-0.014972
15.781283,0.178799,108.176201,1.000000,0.000000,0.000000,0.000000,10.101141,-19.316132,21.800463,-0.982563,0.165736,0.083503,-0.011316
15.910816,0.895108,107.491562,1.000000,0.000000,0.000000,0.000000,10.108957,-18.511320,21.940609,-0.983142,0.161027,0.086248,-0.008020
16.227459,1.610508,108.036652,1.000000,0.000000,0.000000,0.000000,9.998668,-17.518860,22.057734,-0.983997,0.153984,0.089504,-0.005366
16.056664,2.402681,106.893806,1.000000,0.000000,0.000000,0.000000,9.823753,-16.595631,22.120548,-0.985009,0.145880,0.091991,-0.003611
15.970941,3.144837,106.329071,1.000000,0.000000,0.000000,0.000000,9.583948,-15.674728,22.130018,-0.986222,0.136573,0.093336,-0.001661
15.701261,3.939629,105.149002,1.000000,0.000000,0.000000,0.000000,9.268748,-14.656295,22.062107,-0.987702,0.125646,0.093049,0.000450
15.569271,4.568582,104.834732,1.000000,0.000000,0.000000,0.000000,8.940980,-13.736631,21.940105,-0.989061,0.116278,0.090752,0.001600
15.409842,5.142519,104.579681,1.000000,0.000000,0.000000,0.000000,8.584197,-12.847306,21.715097,-0.990393,0.107453,0.087016,0.002147
15.103830,5.692667,103.902206,1.000000,0.000000,0.000000,0.000000,8.118135,-11.882799,21.350046,-0.991584,0.099462,0.082827,0.002894
14.878459,6.178887,103.813637,1.000000,0.000000,0.000000,0.000000,7.649583,-11.069805,20.937166,-0.992477,0.092879,0.079697,0.003421
14.614782,6.631102,103.909271,1.000000,0.000000,0.000000,0.000000,7.173811,-10.324117,20.436611,-0.993414,0.085563,0.076145,0.003183
14.202816,7.006152,103.674484,1.000000,0.000000,0.000000,0.000000,6.620998,-9.542281,19.791958,-0.994548,0.076699,0.070621,0.002152
13.532558,7.261200,102.538223,1.000000,0.000000,0.000000,0.000000,6.129768,-8.882679,19.103354,-0.995518,0.069076,0.064591,0.000816
